   Simulation,Pipe Diameter(mm),   Pipe length (mm),Friction Factor, Number of Bends,Velocity (m/s), Inlet Pressure (Bar), Outlet Pressure(Bar),Pressure Drop(Bar)
straight pipe,10,1000,0.2,0,5,4.1,4.0997,0.0003
straight pipe,10,1000,0.2,0,10,4.1,4.0987,0.0013
straight pipe,10,1000,0.2,0,15,4.1,4.097,0.003
straight pipe,10,1000,0.2,0,20,4.1,4.0947,0.0053
,,,,,,,,
 pipe with 1 bend,12,800,0.02,1,5,4.1,4.0996,0.000305
 pipe with 1 bend,12,800,0.02,1,10,4.1,4.0987,0.001219
 pipe with 1 bend,12,800,0.02,1,15,4.1,4.0972,0.002743
 pipe with 1 bend,12,800,0.02,1,20,4.1,4.095,0.04877
,,,,,,,,
 pipe with 2 bend,18,1500,0.02,2,5,4.1,4.0996,0.000443
 pipe with 2 bend,18,1500,0.02,2,10,4.1,4.0982,0.001773
 pipe with 2 bend,18,1500,0.02,2,15,4.1,4.096,0.00399
 pipe with 2 bend,18,1500,0.02,2,20,4.1,4.0929,0.007093
,,,,,,,,
 pipe with 4 bend,25,2500,0.02,4,5,4.1,4.0993,0.0006
 pipe with 4 bend,25,2500,0.02,4,10,4.1,4.0973,0.0026
 pipe with 4 bend,25,2500,0.02,4,15,4.1,4.094,0.0059
 pipe with 4 bend,25,2500,0.02,4,20,4.1,4.0894,0.0106
